Date,AAPL,ABBV,ABT,ACN,ADBE,AEP,AMT,AMZN,APD,AVB,AXP,BA,BAC,BKNG,BLK,BRK-B,C,CAT,CBRE,CCI,CHTR,CL,CMCSA,COP,COST,CRM,CSCO,CVX,D,DE,DHR,DIS,DLR,DUK,ECL,EOG,EQIX,EXC,FCX,GE,GM,GOOGL,GS,HD,HON,INTC,JNJ,JPM,K,KO,KR,LIN,LLY,LMT,MA,MAR,MCD,MDT,META,MMM,MO,MPC,MRK,MS,MSFT,NEE,NEM,NFLX,NKE,NVDA,OXY,PEG,PEP,PFE,PG,PLD,PM,PPG,PSA,PSX,RTX,SBUX,SHW,SIRI,SLB,SO,SPG,SPGI,SRE,T,TMO,TMUS,TSLA,UNH,UNP,UPS,V,VLO,VZ,WEC,WELL,WFC,WMT,XEL,XOM
2017-05-01,35.65005874633789,48.59254455566406,40.407569885253906,112.0531005859375,141.86000061035156,56.1220817565918,111.68692779541016,49.73099899291992,121.79281616210938,150.7197265625,69.63169860839844,175.45626831054688,19.104581832885742,1872.2987060546875,341.9770812988281,165.27999877929688,48.46017074584961,89.364501953125,34.880001068115234,77.7027816772461,345.54998779296875,64.58667755126953,35.57843780517578,35.800743103027344,155.20863342285156,89.52305603027344,25.420560836791992,76.80583953857422,59.754417419433594,109.92220306396484,72.8885269165039,103.02974700927734,92.11434173583984,63.89199447631836,123.06671142578125,70.68319702148438,387.4997253417969,20.385692596435547,10.644797325134277,119.5716552734375,29.44356918334961,49.35449981689453,181.92393493652344,129.74667358398438,110.44630432128906,29.999906539916992,106.19316101074219,67.42070770263672,52.38654327392578,36.4046745300293,25.688745498657227,117.31295013427734,70.13102722167969,233.7334747314453,118.12234497070312,101.56407928466797,128.00827026367188,71.00788879394531,151.29946899414062,125.14913940429688,46.03420639038086,41.166290283203125,50.231197357177734,34.300453186035156,64.03564453125,29.877010345458984,27.860353469848633,163.07000732421875,49.11250305175781,35.61220932006836,48.165504455566406,35.206459045410156,95.44934844970703,23.654577255249023,72.9039077758789,46.23181915283203,82.29724884033203,94.2730941772461,161.9498291015625,57.78963851928711,64.40299224853516,55.16291809082031,103.79912567138672,4.662959098815918,56.86040115356445,37.30333709716797,105.451904296875,133.77806091308594,46.58906555175781,16.898225784301758,169.70932006835938,66.860595703125,22.733999252319336,157.98187255859375,94.68467712402344,84.53099060058594,90.78886413574219,45.69331741333008,32.641300201416016,50.37154006958008,54.57850646972656,41.73064041137695,23.04818344116211,38.903289794921875,57.64912414550781
2017-06-01,33.749114990234375,53.369380950927734,43.01822280883789,111.34192657470703,141.44000244140625,54.78849792480469,112.64892578125,48.400001525878906,120.94742584228516,151.45263671875,76.23829650878906,186.33529663085938,20.74964141845703,1865.7454833984375,352.98248291015625,169.3699951171875,53.535125732421875,91.08519744873047,36.400001525878906,76.57910919189453,336.8500061035156,62.70048141479492,33.21449279785156,35.41307830810547,143.55001831054688,86.48702239990234,25.23512077331543,78.2244644165039,57.224857330322266,110.9365005493164,72.41654968261719,101.41661834716797,88.03043365478516,62.981327056884766,122.98336029052734,70.8475570678711,378.8631286621094,20.44963264465332,11.126545906066895,117.95584869384766,30.311342239379883,46.48400115966797,191.7297821044922,130.4029083251953,111.25590515136719,28.239456176757812,110.26472473144531,75.0121841430664,51.18731689453125,35.908287048339844,20.19692611694336,117.54354858398438,73.00557708740234,232.29734802246094,116.74767303466797,94.94034576416016,129.93405151367188,74.77397155761719,150.81997680664062,128.3373260498047,45.442291259765625,41.68059539794922,49.444278717041016,36.61783981323242,63.56355667114258,29.809368133544922,26.42449951171875,149.41000366210938,54.682716369628906,35.70156478881836,48.93379592895508,33.71699905395508,94.97010803222656,24.571147918701172,72.12599182128906,48.8122673034668,80.68291473388672,97.81788635253906,156.82101440429688,63.33915328979492,65.19820404052734,50.775028228759766,110.08075714111328,4.868315696716309,54.18288040161133,35.70639419555664,111.82874298095703,137.16392517089844,45.09328079223633,16.547367095947266,171.35939025878906,60.11701202392578,24.107332229614258,167.21661376953125,94.00993347167969,88.91851806640625,89.56513977050781,50.68006896972656,31.255596160888672,49.68793487548828,57.026702880859375,45.53223419189453,22.340457916259766,37.25492477416992,58.35978698730469
2017-07-01,34.85283660888672,51.45569610595703,43.52265930175781,115.96918487548828,146.49000549316406,55.63237380981445,116.63479614257812,49.388999938964844,120.97147369384766,152.7192840576172,77.13424682617188,228.4645233154297,20.629898071289062,2023.322265625,358.61602783203125,174.97000122070312,54.79185485839844,96.58621215820312,37.9900016784668,77.60675048828125,391.9700012207031,61.06803894042969,34.661102294921875,36.5489387512207,142.27545166015625,90.68154907226562,25.356056213378906,81.86839294433594,57.63558578491211,115.71542358398438,70.04389190673828,104.9292221069336,90.62796783447266,64.13411712646484,122.32089233398438,74.4635238647461,397.9051513671875,21.736591339111328,13.544554710388184,113.02658081054688,31.57094383239746,47.275001525878906,194.693359375,127.17259216308594,113.61809539794922,29.68741226196289,110.6231460571289,75.3404541015625,50.11139678955078,37.0029411315918,21.2362117767334,116.09371948242188,73.32491302490234,244.44741821289062,122.85186004638672,98.61264038085938,132.4387969970703,70.74668884277344,169.07061767578125,124.00993347167969,39.96866226196289,44.595760345458984,49.64461898803711,38.540775299072266,67.04002380371094,31.077232360839844,30.3690128326416,181.66000366210938,54.91561508178711,40.13462829589844,51.249290466308594,35.596004486083984,95.89112854003906,24.256608963012695,75.1633071899414,51.011474609375,80.8632583618164,93.62798309326172,156.09910583496094,64.15109252929688,63.30807876586914,47.00457000732422,105.78681945800781,5.215417385101318,56.454227447509766,35.743682861328125,109.5750503540039,144.304443359375,45.197261810302734,17.104354858398438,172.54978942871094,61.14838409423828,21.564666748046875,173.69358825683594,88.87395477294922,88.67729187011719,95.0853500366211,51.814476013183594,33.873050689697266,50.97504806518555,55.91435241699219,44.32429122924805,23.612751007080078,38.71148681640625,57.86100387573242
2017-08-01,38.4311637878418,55.92105484008789,45.32966613769531,117.71565246582031,155.16000366210938,58.06934356689453,126.66161346435547,49.029998779296875,123.71173095703125,149.05116271972656,78.21573638916016,225.8261260986328,20.43317985534668,1847.3525390625,352.2933654785156,181.16000366210938,54.455657958984375,100.3056411743164,36.08000183105469,83.67147064208984,398.5400085449219,60.93183135986328,34.79819869995117,35.38618469238281,140.6867218017578,95.36542510986328,26.21141242980957,80.69124603271484,58.82295227050781,104.57506561279297,71.70281982421875,97.31494140625,92.98517608642578,65.77664184570312,123.83516693115234,66.6429672241211,413.51312255859375,21.470121383666992,13.692785263061523,108.34840393066406,32.06232452392578,47.762001037597656,193.31956481933594,127.40215301513672,115.41266632080078,29.352622985839844,110.33142852783203,75.00393676757812,48.239593505859375,36.76884460449219,18.94110107421875,117.32457733154297,72.109619140625,255.54306030273438,128.37274169921875,98.03527069091797,136.5620574951172,68.27790832519531,171.78773498535156,125.95167541503906,39.00282669067383,41.776161193847656,49.62909698486328,37.58934783935547,68.9488754272461,32.0174674987793,31.324939727783203,174.7100067138672,49.11251449584961,41.846107482910156,49.40387725830078,37.076202392578125,95.16748046875,24.812549591064453,76.96241760253906,53.15058517456055,81.01570129394531,92.80066680908203,155.92446899414062,64.19706726074219,63.922096252441406,47.77084732055664,106.41411590576172,5.11751651763916,52.26541519165039,35.989768981933594,108.43435668945312,144.99964904785156,47.51355743408203,16.713396072387695,183.96270751953125,64.17308044433594,23.726667404174805,180.11395263671875,90.89382934570312,91.94974517822266,98.86739349365234,51.16086196899414,34.01240539550781,52.79646301269531,55.78483963012695,41.96591567993164,23.045969009399414,40.50345230102539,55.17904281616211
2017-09-01,36.25773620605469,65.9913101196289,47.48314666748047,121.59571075439453,149.17999267578125,55.857391357421875,116.93417358398438,48.067501068115234,128.690185546875,141.6593475341797,82.17648315429688,240.96493530273438,21.78423309326172,1826.146728515625,378.1739807128906,183.32000732421875,58.49549865722656,106.4696273803711,37.880001068115234,77.14380645751953,363.4200134277344,61.96096420288086,32.97303771972656,40.56523895263672,147.93492126464844,93.29812622070312,27.366962432861328,88.98420715332031,57.99459457397461,113.28887176513672,73.7313461303711,94.7859115600586,92.97734069824219,63.88429641723633,119.47820281982422,75.8564682006836,395.75323486328125,21.54397964477539,13.007220268249512,106.71546936035156,35.43177032470703,48.68600082397461,205.6407470703125,139.86199951171875,118.88433074951172,32.111175537109375,109.05367279052734,78.81644439697266,46.33989715576172,36.33294677734375,17.466135025024414,124.63837432861328,76.3636245727539,261.1860046386719,135.98072814941406,104.70643615722656,134.54702758789062,65.86419677734375,170.6888885498047,130.28260803222656,39.01512145996094,45.01263427734375,49.76121139526367,39.795135498046875,69.05664825439453,31.37957191467285,30.646793365478516,181.35000610351562,48.38541793823242,44.18918228149414,53.136070251464844,36.60917663574219,92.27272033691406,26.369709014892578,75.8864517211914,53.23447036743164,76.91397857666016,97.07693481445312,162.49281311035156,70.76367950439453,62.355018615722656,46.98058319091797,112.5892105102539,4.921603679656982,57.40883255004883,37.085086822509766,112.57402801513672,147.25906372070312,45.98255157470703,17.476341247558594,185.98765563964844,61.14838409423828,22.739999771118164,177.35203552246094,100.68669128417969,97.2751235961914,100.67194366455078,58.39094924926758,35.09014129638672,51.23448944091797,54.19020462036133,45.647762298583984,23.21172523498535,38.71965789794922,59.83784484863281
2017-10-01,39.767765045166016,67.02357482910156,48.25731658935547,128.15846252441406,175.16000366210938,59.17353820800781,123.51941680908203,55.263999938964844,135.67697143554688,145.12644958496094,86.77314758300781,244.53854370117188,23.54656410217285,1907.0797119140625,398.2545166015625,186.94000244140625,59.106666564941406,115.93759155273438,39.31999969482422,83.3768310546875,334.1700134277344,59.91969680786133,30.8736629486084,41.456783294677734,145.04449462890625,102.20648956298828,27.790122985839844,87.76493072509766,61.16835403442383,120.45093536376953,79.43991088867188,94.05509185791016,93.78136444091797,67.22622680664062,121.726318359375,78.310791015625,411.0052185058594,22.996639251708984,12.951630592346191,90.09043884277344,38.09747314453125,51.652000427246094,210.2271270751953,141.7603302001953,120.91411590576172,38.35968780517578,116.93850708007812,83.02503967285156,46.458778381347656,37.41128158569336,18.02338218688965,131.1129913330078,73.14981079101562,259.39300537109375,143.27090454101562,113.46205139160156,143.33189392089844,68.59859466552734,179.86915588378906,142.87632751464844,39.928855895996094,47.95032501220703,43.12312698364258,41.306976318359375,77.11279296875,33.20389175415039,29.601703643798828,196.42999267578125,51.315608978271484,51.120243072509766,54.10748291015625,39.31254959106445,91.27902221679688,25.896970748901367,72.01620483398438,54.54157257080078,73.19202423095703,103.84891510009766,158.86367797851562,70.35429382324219,64.33181762695312,47.968997955322266,124.25883483886719,4.850276947021484,53.08660125732422,39.394432067871094,108.60274505615234,147.40982055664062,47.676883697509766,15.013503074645996,190.68846130371094,59.27406692504883,22.101999282836914,191.0872039794922,100.5303955078125,95.20148468017578,105.20618438720703,59.878604888916016,33.94150161743164,54.9966926574707,51.63029098510742,46.467193603515625,25.935697555541992,40.81873321533203,60.83781814575195
2017-11-01,40.428836822509766,72.4791488647461,50.40700149536133,134.53530883789062,181.47000122070312,61.73420333862305,123.74292755126953,58.837501525878906,139.6143035888672,145.12644958496094,89.10527038574219,262.3779296875,24.217117309570312,1735.269287109375,423.934814453125,193.00999450683594,60.71500778198242,121.22383880615234,43.36000061035156,87.98636627197266,326.2099914550781,61.959590911865234,32.301979064941406,41.458526611328125,166.07003784179688,104.18390655517578,30.61577606201172,90.11260986328125,63.422393798828125,135.84266662597656,81.2392807006836,100.79598236083984,92.40361785888672,67.88850402832031,126.62671661376953,80.37165832519531,411.8830261230469,23.854509353637695,12.89604663848877,81.73381805419922,38.19497299194336,51.80849838256836,214.7008056640625,153.76612854003906,130.81137084960938,37.811580657958984,116.87137603759766,86.75579071044922,49.15580749511719,37.24041748046875,22.516172409057617,138.1118927001953,75.5601577758789,268.6185302734375,145.13279724121094,120.60330200195312,147.6771240234375,69.9702377319336,176.99220275878906,150.9142303466797,42.17336654663086,50.26999282836914,43.26402282714844,42.84642791748047,78.03058624267578,33.839839935302734,30.281164169311523,187.5800018310547,56.382781982421875,49.61241149902344,59.07661819458008,42.39681625366211,96.48763275146484,26.78335189819336,75.62315368652344,55.93507766723633,71.87003326416016,104.39388275146484,163.3632354736328,75.35972595214844,65.2396469116211,50.57563781738281,125.60160827636719,4.903772354125977,52.132694244384766,38.639747619628906,113.0914306640625,155.89808654785156,49.09299087524414,16.50250816345215,189.6358184814453,60.56327819824219,20.59000015258789,207.4035186767578,109.82899475097656,98.37675476074219,107.7029037475586,64.98677825927734,36.51566696166992,56.710487365722656,52.01581573486328,46.74033737182617,28.882469177246094,42.541500091552734,60.79403305053711
2017-12-01,39.955589294433594,72.32211303710938,51.032955169677734,139.1528778076172,175.24000549316406,58.98982238769531,122.65966033935547,58.4734992980957,140.50482177734375,142.78944396972656,90.56434631347656,281.0470886230469,25.485822677612305,1733.304443359375,434.52490234375,198.22000122070312,60.09576416015625,135.33444213867188,43.310001373291016,86.43689727783203,335.9599914550781,64.5252456665039,34.46175765991211,44.72597885131836,168.08908081054688,102.09663391113281,31.43657684326172,95.69546508789062,61.67338562011719,141.87063598632812,79.91341400146484,103.38272094726562,90.18659210205078,64.66433715820312,125.00562286376953,84.7625732421875,403.55657958984375,22.71613121032715,17.5653018951416,77.98005676269531,36.33353805541992,52.66999816894531,221.56787109375,162.8903045654297,129.2886962890625,39.15534973144531,117.9162368774414,88.76449584960938,50.9196662902832,37.63597869873047,24.036273956298828,138.79385375976562,75.87565612792969,271.938720703125,145.9912567138672,129.2322998046875,148.68702697753906,68.7945556640625,176.27297973632812,146.97386169433594,44.39925003051758,53.29798126220703,44.04679870605469,43.56040954589844,79.69892120361328,33.655494689941406,30.715042114257812,191.9600067138672,58.370452880859375,47.86344909667969,61.724605560302734,41.150325775146484,99.99201202392578,26.99827766418457,77.21141815185547,54.48244094848633,73.89848327636719,104.77310180664062,160.2051239013672,78.72813415527344,68.93758392333984,50.500614166259766,129.2257080078125,4.788814067840576,55.89853286743164,36.70252227783203,121.47626495361328,159.99078369140625,43.38394546508789,17.636547088623047,186.80247497558594,62.9830322265625,20.75666618347168,201.0718994140625,117.08279418945312,97.23075103759766,109.26407623291016,70.35517120361328,37.97944259643555,54.631507873535156,49.806419372558594,50.567543029785156,29.3339900970459,39.656490325927734,61.614501953125
2018-01-01,39.53059387207031,83.92086029052734,55.58451843261719,146.07005310058594,199.75999450683594,55.14910125732422,127.6181640625,72.54450225830078,145.01535034179688,137.47189331054688,90.64642333984375,337.7120666503906,27.626907348632812,1907.1695556640625,477.5843811035156,214.3800048828125,63.382816314697266,139.8003387451172,45.689998626708984,88.64302825927734,377.25,63.49042510986328,36.595706939697266,47.92012023925781,175.99143981933594,113.76139831542969,34.09596633911133,95.81776428222656,58.1583137512207,151.42665100097656,87.32774353027344,105.33880615234375,89.36328887939453,60.3513298034668,128.65652465820312,90.33172607421875,405.31085205078125,22.197362899780273,18.065582275390625,72.88626861572266,37.9342155456543,59.111000061035156,232.9872283935547,172.66217041015625,134.6082305908203,40.834896087646484,116.62496948242188,96.0107650756836,51.017032623291016,39.03871154785156,26.584381103515625,145.6542510986328,73.17156982421875,300.56829833984375,163.00550842285156,140.2864990234375,147.8404541015625,73.58755493164062,186.69190979003906,156.42156982421875,44.128074645996094,55.955596923828125,46.77396774291992,46.947601318359375,88.52225494384766,34.136016845703125,33.232303619384766,270.29998779296875,63.873016357421875,60.8001823425293,63.5270881652832,41.786537170410156,100.30888366699219,27.609498977661133,72.55586242675781,55.358734130859375,75.75331115722656,106.48615264892578,151.48751831054688,79.7010726928711,74.5792465209961,49.95542907714844,131.4538116455078,5.458890438079834,61.50908279418945,34.42816925048828,115.5559310913086,171.04087829589844,43.75848388671875,16.98787498474121,220.6505126953125,64.5598373413086,23.62066650390625,215.95663452148438,116.55894470214844,103.89775848388672,119.04822540283203,73.4630126953125,38.79744338989258,52.87979507446289,46.8385009765625,54.8266487121582,31.832738876342773,37.90580368041992,64.3106918334961
2018-02-01,42.054542541503906,87.24183654785156,54.20609664916992,146.351806640625,209.1300048828125,52.583290100097656,120.38616943359375,75.62249755859375,138.48675537109375,125.8707046508789,89.23662567138672,345.1835021972656,27.713239669799805,2028.84814453125,467.0687561035156,207.1999969482422,60.96800231933594,133.4172821044922,46.75,86.51280975341797,341.92999267578125,59.28950119018555,31.28095817565918,44.25336837768555,172.406005859375,116.09834289550781,37.02949523925781,85.5518569946289,56.355133056640625,146.37664794921875,84.30989074707031,99.9977035522461,80.33515167236328,57.9218864440918,121.90037536621094,79.78058624267578,349.1341247558594,21.35004997253418,17.23178482055664,63.6008186340332,35.19716262817383,55.19599914550781,228.6733856201172,156.65069580078125,127.39183044433594,41.81037902832031,109.61180114746094,96.36907196044922,49.58637619018555,35.453941345214844,23.747314453125,135.06546020507812,69.19185638427734,298.5270080566406,169.79261779785156,134.449951171875,136.2648162841797,68.44696044921875,178.13101196289062,147.06124877929688,39.4919319152832,51.74700927734375,42.80311965942383,46.71086502075195,87.366943359375,32.78496170043945,31.33730697631836,291.3800048828125,62.758846282958984,59.8602180480957,55.58723831176758,39.01526641845703,91.49539947509766,27.06536102294922,66.48736572265625,51.59220504760742,73.15355682373047,100.84480285644531,150.466064453125,70.3377456665039,72.81217193603516,50.2104377746582,126.55950927734375,5.610774993896484,54.87163543701172,32.863609313964844,108.58171081542969,181.14654541015625,44.559906005859375,16.756221771240234,205.36026000976562,60.107093811035156,22.87066650390625,206.27056884765625,113.72135162353516,85.20235443115234,117.81201934814453,69.21463012695312,34.64557647705078,49.27772903442383,41.004188537597656,48.68385696411133,26.878660202026367,35.94572830200195,55.794857025146484
2018-03-01,39.77474594116211,71.28929138183594,53.837703704833984,139.52554321289062,216.0800018310547,55.530967712402344,125.57899475097656,72.36699676513672,136.9709014892578,132.67970275878906,85.36553192138672,314.0097351074219,25.891592025756836,2075.07958984375,460.514404296875,199.47999572753906,54.7361946105957,127.1618423461914,47.220001220703125,86.15911865234375,311.2200012207031,61.6191291809082,29.51865005493164,48.57122802734375,170.63067626953125,116.14828491210938,35.46662139892578,88.0401611328125,51.30317306518555,141.32667541503906,84.42198181152344,97.36109161376953,84.11884307861328,60.270103454589844,128.0865020751953,82.80911254882812,374.5076599121094,22.697145462036133,16.27755355834961,61.39250946044922,32.50482940673828,51.856998443603516,219.6605987548828,153.18719482421875,122.41980743408203,44.476707458496094,108.84431457519531,91.75503540039062,48.69501495361328,35.62620162963867,21.05638885498047,130.14993286132812,70.02355194091797,287.84393310546875,169.21298217773438,129.77197265625,135.94459533691406,68.72969055175781,159.62063598632812,138.0443572998047,39.09669876098633,59.46015930175781,43.00047302246094,44.993186950683594,85.43708801269531,35.44579315185547,32.05099868774414,295.3500061035156,62.20645523071289,57.320838928222656,55.044925689697266,40.47341537475586,91.01176452636719,26.69921112060547,67.1308822631836,53.556251525878906,70.22175598144531,100.48014831542969,155.07046508789062,75.22508239746094,68.36962890625,51.18122482299805,123.84517669677734,5.585240840911865,54.534889221191406,34.53423309326172,110.55070495605469,180.92921447753906,45.475799560546875,16.456178665161133,203.27297973632812,60.533531188964844,17.742000579833984,195.1799774169922,117.99154663085938,86.13003540039062,114.8300552368164,71.66336059570312,34.70363998413086,52.033538818359375,43.188846588134766,43.9434928894043,26.568099975585938,37.772911071777344,55.52446365356445
2018-04-01,39.17734146118164,72.72037506103516,52.22941589355469,137.4348907470703,221.60000610351562,56.65632247924805,117.81999206542969,78.30650329589844,140.7575225830078,132.71630859375,90.37141418457031,319.4494323730469,25.928081512451172,2172.440673828125,445.6795654296875,193.72999572753906,55.36058044433594,124.55614471435547,45.310001373291016,80.0388412475586,271.2900085449219,56.07444763183594,27.1170711517334,53.65855407714844,178.53602600097656,120.83216094970703,36.62430953979492,96.58631896972656,51.218650817871094,123.62510681152344,86.64253997802734,97.25446319580078,85.18052673339844,62.36288070678711,135.68472290039062,92.95670318603516,376.88104248046875,23.086973190307617,14.091155052185059,64.07955932617188,33.19686508178711,50.92900085449219,207.8603973388672,159.73092651367188,122.56378936767578,44.0838737487793,107.43439483642578,90.76214599609375,44.47734832763672,35.758628845214844,22.155820846557617,138.31088256835938,73.37225341796875,273.2868957519531,172.21742248535156,130.44003295898438,145.5592803955078,69.0494384765625,171.8177032470703,122.24142456054688,35.577423095703125,60.924102783203125,46.880393981933594,43.04203796386719,87.5433120727539,35.57167053222656,32.34803771972656,312.4599914550781,64.22587585449219,55.66499328613281,66.25006866455078,42.41658401489258,84.78810119628906,27.54178237915039,61.254390716552734,55.609928131103516,58.55427169799805,95.330078125,157.72804260253906,87.29466247558594,65.2885971069336,50.89830780029297,116.11984252929688,5.665799617767334,57.717071533203125,35.663211822509766,111.97600555419922,178.5996551513672,46.08653259277344,15.094449043273926,207.26669311523438,60.0079231262207,19.593332290649414,216.32388305664062,117.28936767578125,93.40491485595703,121.79936981201172,85.69168853759766,35.81398391723633,53.3447380065918,42.40331268310547,43.566184997558594,26.573291778564453,39.24519729614258,57.86122512817383
2018-05-01,44.300315856933594,75.29239654541016,55.550392150878906,142.8108367919922,249.27999877929688,55.012821197509766,120.18617248535156,81.48100280761719,139.99429321289062,134.78440856933594,90.29731750488281,337.26263427734375,25.16550064086914,2103.536865234375,456.55877685546875,191.52999877929688,54.07936096191406,131.73033142089844,46.189998626708984,82.6414566040039,261.0400085449219,54.55268478393555,27.08921241760254,55.20686721801758,179.5140380859375,129.16128540039062,35.60169982910156,95.96099090576172,49.39491653442383,136.5786895751953,85.74430847167969,96.42083740234375,86.6231689453125,60.028934478759766,133.66026306152344,92.82963562011719,355.439208984375,24.081897735595703,15.7004976272583,64.12508392333984,38.58209228515625,55.0,197.00204467773438,161.24351501464844,125.30006408691406,47.14122009277344,101.59934997558594,89.73809814453125,48.62302017211914,35.58484649658203,21.3994083404541,141.7024688720703,76.96527099609375,267.9206237792969,183.92662048339844,129.1802978515625,139.10025024414062,74.38346099853516,191.5767364501953,124.0273208618164,35.34281539916992,64.27487182617188,47.40597152709961,42.00917053222656,92.52330780029297,35.98401641845703,32.05166244506836,351.6000061035156,67.42825317382812,62.419559478759766,72.20105743408203,43.0916748046875,84.20848846435547,27.030223846435547,62.53053283691406,55.13014602661133,56.797637939453125,90.86429595947266,165.59173583984375,91.3570556640625,67.82621765136719,50.10261154174805,119.78036499023438,6.3550028800964355,57.80967330932617,34.719818115234375,114.75495147705078,187.02777099609375,43.91411590576172,15.2014799118042,205.21722412109375,55.23783874511719,18.98200035095215,220.99993896484375,125.30289459228516,95.56105041503906,125.4855728149414,93.62508392333984,35.030059814453125,52.406982421875,45.743831634521484,45.26825714111328,24.794925689697266,38.139225006103516,60.458492279052734
2018-06-01,44.052303314208984,70.50574493408203,55.062870025634766,150.0091094970703,243.80999755859375,56.587013244628906,125.22401428222656,84.98999786376953,135.06790161132812,139.95465087890625,90.02173614501953,322.9198913574219,24.528717041015625,2021.915771484375,426.4849853515625,186.64999389648438,54.52267074584961,117.64765930175781,47.7400016784668,85.55355834960938,293.2099914550781,56.0399284362793,28.505355834960938,57.26910400390625,189.79132080078125,136.2220458984375,35.86843490600586,98.45649719238281,53.15314865112305,127.7084732055664,85.22611236572266,101.59712219238281,89.92754364013672,62.25136184692383,131.52337646484375,98.04598236083984,387.30303955078125,24.998125076293945,16.034948348999023,61.98456573486328,35.600337982177734,56.45949935913086,193.05117797851562,169.5778045654297,122.64936828613281,42.69772720336914,103.82456970214844,87.3816146850586,53.19660949707031,36.296539306640625,25.151107788085938,143.41636657714844,77.76028442382812,253.22047424316406,190.11813354492188,121.1739730834961,136.21408081054688,73.77163696289062,194.11404418945312,124.71990966796875,36.00859069824219,57.39794921875,48.337677001953125,39.7135009765625,92.70809936523438,36.248775482177734,31.047210693359375,391.42999267578125,74.82845306396484,58.67137908935547,71.75519561767578,44.03516387939453,92.29023742675781,27.559959411621094,66.70951843261719,56.278160095214844,57.6545295715332,93.78993225097656,177.33262634277344,88.66092681884766,68.32364654541016,43.414695739746094,129.0159454345703,6.069701194763184,56.42904281616211,36.309574127197266,123.45244598388672,193.5632781982422,47.863216400146484,15.10270881652832,204.10377502441406,59.25423049926758,22.863332748413086,224.5047149658203,124.98836517333984,88.10977172851562,127.35063171386719,86.20946502685547,36.97005844116211,54.13315963745117,50.52537536621094,46.833984375,25.891263961791992,38.273284912109375,62.191368103027344
2018-07-01,45.285030364990234,70.18614196777344,59.17070007324219,146.102783203125,244.67999267578125,58.13138961791992,129.4786834716797,88.87200164794922,143.3990478515625,145.25201416015625,91.41798400878906,342.9296875,26.869335174560547,2023.5416259765625,431.9922790527344,197.8699951171875,58.57194900512695,124.69766998291016,49.79999923706055,88.86515045166016,304.5799865722656,57.942237854003906,31.085693359375,59.36672592163086,198.62794494628906,136.9710693359375,35.251590728759766,98.3319091796875,55.90514373779297,132.9249725341797,88.73905944824219,110.07890319824219,98.80117797851562,64.2508544921875,132.24005126953125,101.59965515136719,395.7627868652344,24.9394474029541,15.328889846801758,62.767555236816406,34.55291748046875,61.361000061035156,207.80767822265625,171.68121337890625,135.93179321289062,41.31483840942383,113.3907699584961,96.39652252197266,54.07978820800781,38.93254852294922,25.637327194213867,152.6850128173828,90.04444122314453,279.5085754394531,191.54994201660156,122.3608169555664,137.82290649414062,77.75276947021484,172.39707946777344,134.61029052734375,37.66607666015625,66.12709045410156,52.86014175415039,42.36106491088867,99.73104095458984,36.6086311340332,30.309276580810547,337.45001220703125,72.42887878417969,60.642784118652344,72.6161117553711,42.30988311767578,97.4866943359375,30.332660675048828,69.11944580078125,56.633148193359375,62.49628829956055,100.05587005615234,171.8606414794922,97.36832427978516,74.17618560791016,46.5608024597168,139.51271057128906,6.293838977813721,57.25603485107422,38.105064392089844,127.81925964355469,190.28799438476562,48.02223587036133,15.036864280700684,231.27407836914062,59.502159118652344,19.875999450683594,232.5351104736328,132.2311553955078,99.43970489501953,131.47544860839844,92.05892944335938,37.94740295410156,55.57335662841797,50.452842712402344,48.396812438964844,26.973466873168945,39.616172790527344,61.274261474609375
2018-08-01,54.17116928100586,73.78580474853516,60.615604400634766,155.03414916992188,263.510009765625,58.61351776123047,130.24729919433594,100.635498046875,145.2508087158203,150.54136657714844,97.70159149169922,329.92669677734375,26.9128475189209,1946.5687255859375,411.6283264160156,208.72000122070312,58.042362213134766,121.14346313476562,48.810001373291016,91.43096160888672,310.3999938964844,57.793331146240234,32.324134826660156,60.6512451171875,211.72386169433594,152.48080444335938,40.129905700683594,92.24991607666016,55.17230224609375,132.01608276367188,89.56953430175781,109.45895385742188,101.1283950805664,63.95169448852539,141.4320526123047,93.29763793945312,392.92486572265625,25.649490356445312,13.090375900268555,59.59004211425781,32.857627868652344,61.59000015258789,208.14024353027344,174.50608825683594,135.42942810058594,41.59828567504883,115.24749755859375,96.6083984375,54.65842819213867,37.21260070800781,27.847440719604492,144.19847106933594,96.27765655517578,274.6315002441406,208.8003692626953,121.04954528808594,141.92596435546875,83.56414794921875,175.5437469482422,133.72262573242188,37.56336975097656,67.32151794433594,55.04291915893555,41.153446197509766,105.60697174072266,37.168006896972656,25.640586853027344,367.67999267578125,77.41062927246094,69.51405334472656,69.10340881347656,42.958152770996094,94.9520492553711,31.54050064086914,71.53179931640625,57.979496002197266,56.40599060058594,99.94734954833984,167.7185516357422,93.55537414550781,71.96852111816406,47.50288009643555,144.21347045898438,6.365564346313477,53.55882263183594,34.3259162902832,132.76632690429688,196.563232421875,48.22581481933594,15.333357810974121,235.78057861328125,65.4920425415039,20.110666275024414,246.5301971435547,132.87513732910156,101.91967010498047,141.2346649169922,91.69334411621094,40.4167366027832,56.586509704589844,53.76533126831055,49.4020881652832,28.9776554107666,40.6222038269043,60.266937255859375
