accessionNumber,filingDate,reportDate,acceptanceDateTime,act,form,fileNumber,filmNumber,items,size,isXBRL,isInlineXBRL,primaryDocument,primaryDocDescription,ticker,report_url
0000797468-20-000027,2020-08-10,2020-06-30,2020-08-10T16:11:09.000Z,34,10-Q,001-09210,201089470,,17631709,1,1,oxy-20200630.htm,10-Q,OXY,https://www.sec.gov/ixviewer/ix.html?doc=/Archives/edgar/data/797468/000079746820000027/oxy-20200630.htm
0000797468-20-000010,2020-05-06,2020-03-31,2020-05-06T08:58:13.000Z,34,10-Q,001-09210,20851385,,12961228,1,1,oxy-20200331.htm,10-Q,OXY,https://www.sec.gov/ixviewer/ix.html?doc=/Archives/edgar/data/797468/000079746820000010/oxy-20200331.htm
0000797468-20-000004,2020-02-28,2019-12-31,2020-02-27T21:59:03.000Z,34,10-K,001-09210,20665475,,30347021,1,1,oxy10k12-31x2019.htm,10-K,OXY,https://www.sec.gov/ixviewer/ix.html?doc=/Archives/edgar/data/797468/000079746820000004/oxy10k12-31x2019.htm
0000797468-19-000016,2019-11-04,2019-09-30,2019-11-04T17:09:33.000Z,34,10-Q,001-09210,191190690,,17769379,1,1,oxyform10q93019.htm,10-Q,OXY,https://www.sec.gov/ixviewer/ix.html?doc=/Archives/edgar/data/797468/000079746819000016/oxyform10q93019.htm
0000797468-19-000012,2019-07-31,2019-06-30,2019-07-31T17:04:40.000Z,34,10-Q,001-09210,19989592,,10970605,1,1,oxyform10q63019.htm,10-Q,OXY,https://www.sec.gov/ixviewer/ix.html?doc=/Archives/edgar/data/797468/000079746819000012/oxyform10q63019.htm
0000797468-19-000007,2019-05-06,2019-03-31,2019-05-06T17:04:39.000Z,34,10-Q,001-09210,19800173,,6875970,1,0,oxyform10q33119.htm,10-Q,OXY,https://www.sec.gov/ixviewer/ix.html?doc=/Archives/edgar/data/797468/000079746819000007/oxyform10q33119.htm
0000797468-19-000004,2019-02-21,2018-12-31,2019-02-21T17:29:15.000Z,34,10-K,001-09210,19623042,,21657268,1,0,oxy10k12-31x2018.htm,10-K,OXY,https://www.sec.gov/ixviewer/ix.html?doc=/Archives/edgar/data/797468/000079746819000004/oxy10k12-31x2018.htm
0000797468-18-000017,2018-11-05,2018-09-30,2018-11-05T16:27:58.000Z,34,10-Q,001-09210,181160223,,6720992,1,0,oxyform10q93018.htm,10-Q,OXY,https://www.sec.gov/ixviewer/ix.html?doc=/Archives/edgar/data/797468/000079746818000017/oxyform10q93018.htm
0000797468-18-000014,2018-08-08,2018-06-30,2018-08-08T16:54:25.000Z,34,10-Q,001-09210,181002115,,7681794,1,0,oxyform10q63018.htm,10-Q,OXY,https://www.sec.gov/ixviewer/ix.html?doc=/Archives/edgar/data/797468/000079746818000014/oxyform10q63018.htm
0000797468-18-000008,2018-05-08,2018-03-31,2018-05-08T16:25:29.000Z,34,10-Q,001-09210,18814986,,6018432,1,0,oxyform10q33118.htm,10-Q,OXY,https://www.sec.gov/ixviewer/ix.html?doc=/Archives/edgar/data/797468/000079746818000008/oxyform10q33118.htm
0000797468-18-000005,2018-02-23,2017-12-31,2018-02-23T17:19:51.000Z,34,10-K,001-09210,18637718,,22172381,1,0,oxy10k12-31x2017.htm,10-K,OXY,https://www.sec.gov/ixviewer/ix.html?doc=/Archives/edgar/data/797468/000079746818000005/oxy10k12-31x2017.htm
0000797468-17-000025,2017-11-01,2017-09-30,2017-11-01T16:24:43.000Z,34,10-Q,001-09210,171169279,,5642080,1,0,oxyform10q93017.htm,10-Q,OXY,https://www.sec.gov/ixviewer/ix.html?doc=/Archives/edgar/data/797468/000079746817000025/oxyform10q93017.htm
0000797468-17-000019,2017-08-02,2017-06-30,2017-08-02T16:24:04.000Z,34,10-Q,001-09210,171000245,,5994768,1,0,oxyform10q63017.htm,10-Q,OXY,https://www.sec.gov/ixviewer/ix.html?doc=/Archives/edgar/data/797468/000079746817000019/oxyform10q63017.htm
0000797468-17-000007,2017-05-04,2017-03-31,2017-05-04T17:05:27.000Z,34,10-Q,001-09210,17815006,,4650139,1,0,oxyform10q33117.htm,10-Q,OXY,https://www.sec.gov/ixviewer/ix.html?doc=/Archives/edgar/data/797468/000079746817000007/oxyform10q33117.htm
0000797468-17-000003,2017-02-23,2016-12-31,2017-02-23T09:54:15.000Z,34,10-K,001-09210,17631039,,22692088,1,0,oxy10k12-31x2016.htm,10-K,OXY,https://www.sec.gov/ixviewer/ix.html?doc=/Archives/edgar/data/797468/000079746817000003/oxy10k12-31x2016.htm
0000797468-16-000039,2016-11-01,2016-09-30,2016-11-01T16:07:24.000Z,34,10-Q,001-09210,161964834,,6342136,1,0,oxyform10q93016.htm,10-Q,OXY,https://www.sec.gov/ixviewer/ix.html?doc=/Archives/edgar/data/797468/000079746816000039/oxyform10q93016.htm
0000797468-16-000036,2016-08-03,2016-06-30,2016-08-03T17:11:09.000Z,34,10-Q,001-09210,161804750,,6192423,1,0,oxyform10q63016.htm,10-Q,OXY,https://www.sec.gov/ixviewer/ix.html?doc=/Archives/edgar/data/797468/000079746816000036/oxyform10q63016.htm
0000797468-16-000023,2016-05-05,2016-03-31,2016-05-05T17:07:37.000Z,34,10-Q,001-09210,161624867,,4821817,1,0,oxyform10q33116.htm,10-Q,OXY,https://www.sec.gov/ixviewer/ix.html?doc=/Archives/edgar/data/797468/000079746816000023/oxyform10q33116.htm
0000797468-16-000017,2016-02-26,2015-12-31,2016-02-26T12:08:12.000Z,34,10-K,001-09210,161459726,,21425292,1,0,oxy10k12-31x2015.htm,10-K,OXY,https://www.sec.gov/ixviewer/ix.html?doc=/Archives/edgar/data/797468/000079746816000017/oxy10k12-31x2015.htm
0000797468-15-000014,2015-10-30,2015-09-30,2015-10-29T18:04:22.000Z,34,10-Q,001-09210,151184865,,5942302,1,0,oxyform10q93015.htm,10-Q,OXY,https://www.sec.gov/ixviewer/ix.html?doc=/Archives/edgar/data/797468/000079746815000014/oxyform10q93015.htm
0000797468-15-000012,2015-08-04,2015-06-30,2015-08-03T18:14:14.000Z,34,10-Q,001-09210,151023571,,6634990,1,0,oxyform10q63015.htm,10-Q,OXY,https://www.sec.gov/ixviewer/ix.html?doc=/Archives/edgar/data/797468/000079746815000012/oxyform10q63015.htm
